nombre,conceptop,fecha_review,critica,review,date_extract
Sol,Viaje en pareja,20 feb 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad",Lo mejor ,21/02/2023
Ricardo,Sin concepto,19 feb 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad",Todo,21/02/2023
yanelys,Viaje en pareja,19 feb 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad","El hotel esta buenísimo súper limpio bien cuidado muy elegante y con un concepto sexy , romántico y picozo que motiva muchísimo Muy recomendado para parejas",21/02/2023
Oscar,Viaje en pareja,6 feb 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad","Muy buena atención, servicio y respeto.Mi baño un poco sucio con sarro,",21/02/2023
Vanessa,Viaje en pareja,5 ene 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad",Las habitaciones podrían ser mejor para el precio pero el concepto y actividades vale el precio. Topples opcional. Te sentirás cómodo y libre💕,21/02/2023
Mario,Viaje en pareja,4 ene 2023,"Le gustó: Limpieza, servicios, condiciones de la propiedad",",.",21/02/2023
Carlos Manuel,Viaje familiar,5 dic 2022,"Le gustó: Limpieza, servicios, condiciones de la propiedad","No me gustan que los hoteles en Cancùn sean clasista y aqui no fue la excepción ya que nos dijieron que por ser mexicanos teniamos que dejar nuestras INE y les pregunte si los extranjeros dejaban su pasaporte y me comentaron que no, que solo a los mexicanos nos pedian dejar en garantia la INE. ",21/02/2023
Mauricio,Viaje en pareja,2 dic 2022,"Le gustó: Limpieza, servicios, condiciones de la propiedad",La alberca esta templada y el personal es muy amable ,21/02/2023
Zulanni,Viaje en pareja,21 nov 2022,"Le gustó: Limpieza, servicios, condiciones de la propiedad",Todo exelente ,21/02/2023
Miguel,Viaje en pareja,19 nov 2022,Le gustó: Limpieza,Estaban reparando el edificio donde nos hospedamos y no dejaban dormir ,21/02/2023
